"County","Year","Total.Revenues","Estimated.Population","Revenues.Per.Capita","AcresBurned","StructuresDestroyed","year_before","Revenue.Before","Population.Before","year_after","Revenue.After","Population.After"
"SAN LUIS OBISPO",2015,534080222,274293,1947,2446,1,2014,516562520,272357,2016,536058993,277977
"SAN LUIS OBISPO",2016,536058993,277977,1928,3712,NA,2015,534080222,274293,2017,604606437,280101
"SAN LUIS OBISPO",2016,536058993,277977,1928,46344,70,2015,534080222,274293,2017,604606437,280101
"SAN LUIS OBISPO",2017,604606437,280101,2159,1598,4,2016,536058993,277977,2018,615588420,280101
"SAN LUIS OBISPO",2017,604606437,280101,2159,1816,NA,2016,536058993,277977,2018,615588420,280101
"SAN LUIS OBISPO",2017,604606437,280101,2159,28687,0,2016,536058993,277977,2018,615588420,280101
"SAN LUIS OBISPO",2018,615588420,280101,2198,1500,NA,2017,604606437,280101,2019,707485856,280393
"SAN LUIS OBISPO",2019,707485856,280393,2523,1764,NA,2018,615588420,280101,2020,714897644,277259
"SAN LUIS OBISPO",2019,707485856,280393,2523,1127,NA,2018,615588420,280101,2020,714897644,277259
"SANTA BARBARA",2013,727377855,429200,1695,1984,NA,2012,721802445,427267,2014,703415222,433398
"SANTA BARBARA",2016,786760668,446717,1761,32606,NA,2015,767674135,437643,2017,880935692,450663
"SANTA BARBARA",2016,786760668,446717,1761,7474,NA,2015,767674135,437643,2017,880935692,450663
"SANTA BARBARA",2016,786760668,446717,1761,12518,NA,2015,767674135,437643,2017,880935692,450663
"SANTA BARBARA",2017,880935692,450663,1955,18430,NA,2016,786760668,446717,2018,917615110,453457
"SANTA BARBARA",2017,880935692,450663,1955,281893,1063,2016,786760668,446717,2018,917615110,453457
"SANTA BARBARA",2018,917615110,453457,2024,1014,NA,2017,880935692,450663,2019,1105431671,454593
"SANTA BARBARA",2019,1105431671,454593,2432,3126,NA,2018,917615110,453457,2020,1137564006,451840
"SANTA CLARA",2016,5077915977,1927888,2634,4474,28,2015,4589941453,1889638,2017,5625107619,1938180
"SHASTA",2013,285317564,178601,1598,8073,201,2012,255221598,177823,2014,282125313,179412
"SHASTA",2014,282125313,179412,1572,32416,21,2013,285317564,178601,2015,279509714,178673
"SHASTA",2014,282125313,179412,1572,12661,20,2013,285317564,178601,2015,279509714,178673
"SHASTA",2014,282125313,179412,1572,6258,NA,2013,285317564,178601,2015,279509714,178673
"SHASTA",2014,282125313,179412,1572,39736,NA,2013,285317564,178601,2015,279509714,178673
"SHASTA",2014,282125313,179412,1572,1375,4,2013,285317564,178601,2015,279509714,178673
"SHASTA",2018,364618422,178271,2045,229651,1614,2017,325291176,178605,2019,380377816,178773
"SHASTA",2018,364618422,178271,2045,1900,NA,2017,325291176,178605,2019,380377816,178773
"SHASTA",2018,364618422,178271,2045,46150,NA,2017,325291176,178605,2019,380377816,178773
"SHASTA",2018,364618422,178271,2045,63311,42,2017,325291176,178605,2019,380377816,178773
"SHASTA",2018,364618422,178271,2045,1678,11,2017,325291176,178605,2019,380377816,178773
"SISKIYOU",2013,84578397,44796,1888,14754,NA,2012,85769449,44639,2014,90699766,45231
"SISKIYOU",2014,90699766,45231,2005,32496,NA,2013,84578397,44796,2015,92420912,45119
"SISKIYOU",2014,90699766,45231,2005,5503,NA,2013,84578397,44796,2015,92420912,45119
"SISKIYOU",2014,90699766,45231,2005,50042,NA,2013,84578397,44796,2015,92420912,45119
"SISKIYOU",2014,90699766,45231,2005,35302,NA,2013,84578397,44796,2015,92420912,45119
"SISKIYOU",2016,88510849,44739,1978,33867,NA,2015,92420912,45119,2017,96104592,44688
"SISKIYOU",2016,88510849,44739,1978,2860,NA,2015,92420912,45119,2017,96104592,44688
"SISKIYOU",2017,96104592,44688,2151,78698,NA,2016,88510849,44739,2018,107583647,44612
"SISKIYOU",2017,96104592,44688,2151,27276,NA,2016,88510849,44739,2018,107583647,44612
"SISKIYOU",2017,96104592,44688,2151,39715,NA,2016,88510849,44739,2018,107583647,44612
"SISKIYOU",2017,96104592,44688,2151,3142,NA,2016,88510849,44739,2018,107583647,44612
"SISKIYOU",2018,107583647,44612,2412,38008,83,2017,96104592,44688,2019,112614732,44584
"SISKIYOU",2019,112614732,44584,2526,1872,NA,2018,107583647,44612,2020,115368433,44461
"SOLANO",2017,713850543,436023,1637,51624,120,2016,655785885,431498,2018,762135735,439793
"SOLANO",2018,762135735,439793,1733,1500,NA,2017,713850543,436023,2019,778984684,441307
"SOLANO",2018,762135735,439793,1733,4500,NA,2017,713850543,436023,2019,778984684,441307
"SOLANO",2018,762135735,439793,1733,2162,1,2017,713850543,436023,2019,778984684,441307
"SONOMA",2013,807618219,490423,1647,3505,1,2012,764467267,487011,2014,872800335,490486
"SONOMA",2016,897391618,501959,1788,1547,NA,2015,869159373,496253,2017,1070620681,505120
"SONOMA",2017,1070620681,505120,2120,36807,5636,2016,897391618,501959,2018,1195437939,503332
"SONOMA",2017,1070620681,505120,2120,1868,NA,2016,897391618,501959,2018,1195437939,503332
"SONOMA",2017,1070620681,505120,2120,56556,1355,2016,897391618,501959,2018,1195437939,503332
"SONOMA",2017,1070620681,505120,2120,17357,6,2016,897391618,501959,2018,1195437939,503332
"SONOMA",2017,1070620681,505120,2120,1660,NA,2016,897391618,501959,2018,1195437939,503332
"SONOMA",2019,1266760855,500675,2530,77758,374,2018,1195437939,503332,2020,1261114099,492980
"STANISLAUS",2017,1039155522,548057,1896,1749,NA,2016,888198544,540214,2018,1106325374,555624
"STANISLAUS",2017,1039155522,548057,1896,5247,NA,2016,888198544,540214,2018,1106325374,555624
"STANISLAUS",2019,1180957213,558972,2113,2422,NA,2018,1106325374,555624,2020,1417590466,557709
"SUTTER",2018,193095959,97238,1986,1200,NA,2017,161056973,96956,2019,236018824,97490
"SUTTER",2019,236018824,97490,2421,1350,NA,2018,193095959,97238,2020,219836204,100750
"TEHAMA",2013,103104029,63772,1617,11429,NA,2012,95863453,63177,2014,122148170,63717
"TEHAMA",2013,103104029,63772,1617,6965,NA,2012,95863453,63177,2014,122148170,63717
"TEHAMA",2018,129771624,64039,2026,3889,NA,2017,129744232,63995,2019,141114148,64387
"TEHAMA",2018,129771624,64039,2026,2956,5,2017,129744232,63995,2019,141114148,64387
"TEHAMA",2018,129771624,64039,2026,3716,NA,2017,129744232,63995,2019,141114148,64387
"TEHAMA",2019,141114148,64387,2192,2534,NA,2018,129771624,64039,2020,151252671,65129
"TEHAMA",2019,141114148,64387,2192,8838,2,2018,129771624,64039,2020,151252671,65129
